Symbol,Close Price,Previous Close,percent_change
ADANIENT,2415.60009765625,2418.199951171875,-0.10751193317844103
ADANIPORTS,1232.9000244140625,1210.800048828125,1.8252374211024356
APOLLOHOSP,7005.5,6905.0,1.4554670528602462
ASIANPAINT,2459.89990234375,2415.699951171875,1.829695411900524
AXISBANK,1161.300048828125,1112.800048828125,4.358375078350752
BAJAJ-AUTO,7961.5,7995.5,-0.42523919704833973
BAJFINANCE,9056.5,9141.0,-0.9244065200743902
BAJAJFINSV,1969.199951171875,1968.0,0.06097312865218496
BEL,293.6000061035156,293.70001220703125,-0.03405042538613515
BPCL,298.75,294.3999938964844,1.4775836255775043
BHARTIARTL,1822.5999755859375,1798.800048828125,1.3231001841098224
BRITANNIA,5416.2001953125,5391.2998046875,0.4618624733751626
CIPLA,1496.4000244140625,1481.800048828125,0.9852864829828981
COALINDIA,399.25,395.25,1.0120177103099304
DRREDDY,1158.4000244140625,1154.9000244140625,0.30305653528544363
EICHERMOT,5615.5,5529.0,1.5644782058238378
GRASIM,2702.800048828125,2718.60009765625,-0.5811832656721554
HCLTECH,1431.699951171875,1426.5,0.3645251434893095
HDFCBANK,1878.0,1864.9000244140625,0.7024492152094541
HDFCLIFE,716.0499877929688,704.7000122070312,1.6106109535021593
HEROMOTOCO,3781.89990234375,3803.89990234375,-0.5783538096374417
HINDALCO,609.9000244140625,617.5999755859375,-1.2467538012076185
HINDUNILVR,2366.60009765625,2361.5,0.21596856473639633
ICICIBANK,1356.4000244140625,1350.199951171875,0.45919667207855325
ITC,424.45001220703125,420.3999938964844,0.9633725902346507
INDUSINDBK,788.25,735.9000244140625,7.113734726074991
INFY,1413.0999755859375,1426.0,-0.9046300430618863
JSWSTEEL,1009.4000244140625,1008.0,0.1388913109188988
KOTAKBANK,2123.39990234375,2120.199951171875,0.15092685810629916
LT,3227.699951171875,3257.60009765625,-0.9178581037582636
M&M,2634.60009765625,2646.0,-0.4308353115551776
MARUTI,11664.0,11855.0,-1.6111345423871783
NTPC,359.29998779296875,362.5,-0.8827619881465517
NESTLEIND,2383.300048828125,2367.89990234375,0.6503715156680363
ONGC,241.22000122070312,232.69000244140625,3.6658209161542366
POWERGRID,305.75,304.54998779296875,0.39402799380409465
RELIANCE,1239.300048828125,1240.0999755859375,-0.06450502165638225
SBILIFE,1565.4000244140625,1562.5999755859375,0.17919165953365954
SHRIRAMFIN,676.0499877929688,672.0,0.602676754906064
SBIN,771.75,763.5,1.080550098231827
SUNPHARMA,1693.0999755859375,1705.0,-0.6979486459860704
TCS,3273.800048828125,3248.199951171875,0.7881318281226523
TATACONSUM,1105.9000244140625,1103.4000244140625,0.2265724075298596
TATAMOTORS,616.0499877929688,622.2000122070312,-0.9884320625850673
TATASTEEL,136.97000122070312,136.41000366210938,0.41052528667976323
TECHM,1308.699951171875,1301.699951171875,0.5377583362201208
TITAN,3272.10009765625,3273.39990234375,-0.03970809330596429
TRENT,5035.5,4877.0,3.2499487389788806
ULTRACEMCO,11728.0,11719.0,0.07679836163495178
WIPRO,247.64999389648438,244.0,1.4958991379034325
ABB,5379.5,5246.5,2.535023348899266
ADANIENSOL,895.1500244140625,887.4000244140625,0.8733378168562949
ADANIGREEN,945.5999755859375,936.6500244140625,0.9555277786357605
ADANIPOWER,545.5499877929688,542.2000122070312,0.6178486740163259
ATGL,608.0,610.6500244140625,-0.43396778975081185
AMBUJACEM,565.75,558.0499877929688,1.3798068946267734
DMART,4221.5,4212.7001953125,0.20888751345969508
BAJAJHLDNG,11585.0,11826.0,-2.0378826314899374
BANKBARODA,240.7899932861328,234.9499969482422,2.4856337151505197
BHEL,226.0,221.8000030517578,1.8935964339288596
BOSCHLTD,27370.0,27090.0,1.03359173126615
CANBK,94.69999694824219,92.69000244140625,2.1685127348082123
CHOLAFIN,1611.9000244140625,1560.300048828125,3.307054667125855
DLF,656.25,662.7999877929688,-0.988229920579705
DABUR,481.3500061035156,473.75,1.604222924224934
DIVISLAB,5754.0,5734.5,0.34004708344232276
GAIL,184.6999969482422,178.99000549316406,3.1901174813340067
GODREJCP,1244.5999755859375,1216.300048828125,2.3267224880142674
HAVELLS,1613.9000244140625,1571.699951171875,2.6849955177973195
HAL,4209.2001953125,4206.10009765625,0.07370479979726245
ICICIGI,1811.800048828125,1822.5999755859375,-0.5925560683901848
ICICIPRULI,586.2999877929688,567.1500244140625,3.3765251793280937
IOC,133.8300018310547,132.8699951171875,0.7225158042795812
IRCTC,760.5999755859375,754.5,0.8084792029075546
IRFC,129.05999755859375,128.27000427246094,0.6158831058076303
NAUKRI,6776.0,6735.5,0.6012916635736025
INDIGO,5244.5,5256.0,-0.21879756468797562
JSWENERGY,509.70001220703125,512.5999755859375,-0.5657361523654756
JINDALSTEL,854.25,845.1500244140625,1.07672902124643
JIOFIN,242.27999877929688,238.57000732421875,1.5550955028626938
LTIM,4276.2998046875,4317.60009765625,-0.9565566989673104
LICI,797.6500244140625,784.2999877929688,1.7021594834727642
LODHA,1240.800048828125,1214.0,2.207582275792834
NHPC,85.31999969482422,85.41999816894531,-0.11706681838521565
PIDILITIND,3026.5,2991.60009765625,1.166596510378914
PFC,423.79998779296875,425.54998779296875,-0.4112325344141191
PNB,98.83000183105469,96.58999633789062,2.3190864251905414
RECLTD,424.79998779296875,423.29998779296875,0.35435862113316036
MOTHERSON,128.33999633789062,127.62999725341797,0.5562948364426469
SHREECEM,30800.0,31125.0,-1.0441767068273093
SIEMENS,2811.5,2839.5,-0.9860891001936961
TVSMOTOR,2614.199951171875,2586.5,1.0709434050599265
