Symbol,Close Price
ADANIENT,2241.800048828125
ADANIPORTS,1128.300048828125
APOLLOHOSP,6143.75
ASIANPAINT,2251.300048828125
AXISBANK,1011.2000122070312
BAJAJ-AUTO,7515.0498046875
BAJFINANCE,8484.4501953125
BAJAJFINSV,1819.449951171875
BEL,276.8299865722656
BPCL,266.32000732421875
BHARTIARTL,1642.8499755859375
BRITANNIA,4792.0498046875
CIPLA,1454.300048828125
COALINDIA,380.70001220703125
DRREDDY,1105.1500244140625
EICHERMOT,5017.4501953125
GRASIM,2398.89990234375
HCLTECH,1540.5999755859375
HDFCBANK,1711.1500244140625
HDFCLIFE,632.0
HEROMOTOCO,3610.25
HINDALCO,689.8499755859375
HINDUNILVR,2192.89990234375
ICICIBANK,1243.949951171875
ITC,412.3999938964844
INDUSINDBK,684.7000122070312
INFY,1590.8499755859375
JSWSTEEL,1010.4000244140625
KOTAKBANK,1982.550048828125
LT,3193.64990234375
M&M,2653.300048828125
MARUTI,11640.099609375
NTPC,330.1499938964844
NESTLEIND,2195.5
ONGC,224.39999389648438
POWERGRID,267.1000061035156
RELIANCE,1257.050048828125
SBILIFE,1409.0
SHRIRAMFIN,636.9500122070312
SBIN,723.0499877929688
SUNPHARMA,1676.8499755859375
TCS,3506.199951171875
TATACONSUM,945.4500122070312
TATAMOTORS,668.2999877929688
TATASTEEL,150.3000030517578
TECHM,1438.300048828125
TITAN,3018.949951171875
TRENT,5015.35009765625
ULTRACEMCO,10520.400390625
WIPRO,268.54998779296875
ABB,5139.7001953125
ADANIENSOL,781.75
ADANIENT,2241.800048828125
ADANIGREEN,853.4500122070312
ADANIPORTS,1128.300048828125
ADANIPOWER,512.3499755859375
ATGL,600.5
AMBUJACEM,489.20001220703125
APOLLOHOSP,6143.75
ASIANPAINT,2251.300048828125
DMART,3674.199951171875
AXISBANK,1011.2000122070312
BAJAJ-AUTO,7515.0498046875
BAJFINANCE,8484.4501953125
BAJAJFINSV,1819.449951171875
BAJAJHLDNG,11458.2998046875
BANKBARODA,202.39999389648438
BEL,276.8299865722656
BHEL,193.6300048828125
BPCL,266.32000732421875
BHARTIARTL,1642.8499755859375
BOSCHLTD,26807.099609375
BRITANNIA,4792.0498046875
CANBK,82.45999908447266
CHOLAFIN,1451.5
CIPLA,1454.300048828125
COALINDIA,380.70001220703125
DLF,668.7000122070312
DABUR,499.95001220703125
DIVISLAB,5667.14990234375
DRREDDY,1105.1500244140625
EICHERMOT,5017.4501953125
GAIL,159.1999969482422
GODREJCP,1043.4000244140625
GRASIM,2398.89990234375
HCLTECH,1540.5999755859375
HDFCBANK,1711.1500244140625
HDFCLIFE,632.0
HAVELLS,1480.050048828125
HEROMOTOCO,3610.25
HINDALCO,689.8499755859375
HAL,3415.39990234375
HINDUNILVR,2192.89990234375
ICICIBANK,1243.949951171875
ICICIGI,1665.699951171875
ICICIPRULI,544.9000244140625
ITC,412.3999938964844
IOC,125.29000091552734
IRCTC,698.2000122070312
IRFC,119.19999694824219
INDUSINDBK,684.7000122070312
NAUKRI,6507.2001953125
INFY,1590.8499755859375
INDIGO,4729.2001953125
JSWENERGY,515.2000122070312
JSWSTEEL,1010.4000244140625
JINDALSTEL,903.0499877929688
JIOFIN,225.52999877929688
KOTAKBANK,1982.550048828125
LTIM,4485.89990234375
LT,3193.64990234375
LICI,744.5
LODHA,1081.699951171875
M&M,2653.300048828125
MARUTI,11640.099609375
NHPC,78.36000061035156
NTPC,330.1499938964844
NESTLEIND,2195.5
ONGC,224.39999389648438
PIDILITIND,2749.300048828125
PFC,396.1000061035156
POWERGRID,267.1000061035156
PNB,86.9000015258789
RECLTD,402.20001220703125
RELIANCE,1257.050048828125
SBILIFE,1409.0
MOTHERSON,125.4800033569336
SHREECEM,27531.0
SHRIRAMFIN,636.9500122070312
SIEMENS,4905.75
SBIN,723.0499877929688
SUNPHARMA,1676.8499755859375
TVSMOTOR,2259.0
TCS,3506.199951171875
TATACONSUM,945.4500122070312
TATAMOTORS,668.2999877929688
TATAPOWER,356.25
TATASTEEL,150.3000030517578
TECHM,1438.300048828125
TITAN,3018.949951171875
TORNTPHARM,3096.5
TRENT,5015.35009765625
ULTRACEMCO,10520.400390625
UNIONBANK,113.5999984741211
UNITDSPR,1336.25
VBL,478.3500061035156
VEDL,444.95001220703125
WIPRO,268.54998779296875
ZOMATO,205.4600067138672
ZYDUSLIFE,888.25
